Região/Unidade da Federação;0201 Coleta de material;0202 Diagnóstico em laboratório clínico;0203 Diagnóstico por anatomia patológica e citopatologia;0204 Diagnóstico por radiologia;0205 Diagnóstico por ultrasonografia;0206 Diagnóstico por tomografia;0207 Diagnóstico por ressonância magnética;0208 Diagnóstico por medicina nuclear in vivo;0209 Diagnóstico por endoscopia;0210 Diagnóstico por radiologia intervencionista;0211 Métodos diagnósticos em especialidades;0212 Diagnóstico e procedimentos especiais em hemoterapia;0214 Diagnóstico por teste rápido;0301 Consultas / Atendimentos / Acompanhamentos;0302 Fisioterapia;0303 Tratamentos clínicos (outras especialidades);0304 Tratamento em oncologia;0305 Tratamento em nefrologia;0306 Hemoterapia;0307 Tratamentos odontológicos;0308 Tratamento de lesões, envenenamentos e outros, decorrentes de causas externas;0309 Terapias especializadas;0310 Parto e nascimento;0401 Pequenas cirurgias e cirurgias de pele, tecido subcutâneo e mucosa;0402 Cirurgia de glândulas endócrinas;0403 Cirurgia do sistema nervoso central e periférico;0404 Cirurgia das vias aéreas superiores, da face, da cabeça e do pescoço;0405 Cirurgia do aparelho da visão;0406 Cirurgia do aparelho circulatório;0407 Cirurgia do aparelho digestivo, orgãos anexos e parede abdominal;0408 Cirurgia do sistema osteomuscular;0409 Cirurgia do aparelho geniturinário;0410 Cirurgia de mama;0411 Cirurgia obstétrica;0412 Cirurgia torácica;0413 Cirurgia reparadora;0414 Bucomaxilofacial;0415 Outras cirurgias;0416 Cirurgia em oncologia;0417 Anestesiologia;0418 Cirurgia em nefrologia;0501 Coleta e exames para fins de doação de orgãos, tecidos e células e de transplante;0502 Avaliação de morte encefálica;0503 Ações relacionadas à doação de orgãos e tecidos para transplante;0504 Processamento de tecidos para transplante;0505 Transplante de orgãos, tecidos e células;0506 Acompanhamento e intercorrências no pré e pós-transplante;0603 Medicamentos de âmbito hospitalar e urgência;0702 Órteses, próteses e materiais especiais relacionados ao ato cirúrgico;0801 Ações relacionadas ao estabelecimento;0802 Ações relacionadas ao atendimento;Total
.. Piauí;1050118,68;789504,36;6661428,37;39698,77;11204258,95;27653281,74;3896961,25;246294;1047540,38;1399906,34;4632344,34;6277024,8;191639;33892660,59;31819599,27;595833847,8;31447368,9;31338890,91;3155706,83;-;7546935,5;9453078,42;162280284,4;11450513,86;1481673,37;44524064,68;13734969,2;9616317,14;76932987,62;108372871,7;101145695,2;63628388,39;1856829,24;158486673,7;13783901,22;26358345,28;800773,3;10422857,65;83738245,4;16157517,96;1282013,85;133100,3;81145;1792536,19;240148,8;9678280,4;2462053,79;5859781,27;161072222,9;2449610;381486911,7;2280888803
.. Ceará;5568027,69;112644,47;17455230,29;110855,14;26197501,15;51678243,76;14319853,23;911385,81;5032065,83;5390677,48;32870126,65;24030387,36;587131,8;83929011,03;35965931,34;1207782649;37827927,2;100814137,1;8205693,54;178,44;21319907,28;51336139,13;379705608,4;30176357,05;4322195,77;87677708,51;38623764,38;19667010,83;299540955,5;276504548,2;240226035,6;139419450,8;11888972,18;412290540,8;47295187,76;50419148,46;2696441,33;66852797,56;395811693,2;46466754,87;3187982,75;5465306,91;822930;18921168,7;132894;331031291,3;25871548,14;28280945,93;498134200,6;10369365;1388588141;6591836650
.. Rio Grande do Norte;3750186,38;28223,56;9493221,17;846,59;6710712,03;14449580,32;1625015;519410,28;1571966,46;2093574,21;4214455,3;3673074,24;364393;33785249,07;14481566,56;420007497,1;41653443,25;24177119,69;3524360,37;103,19;7722005,96;7554889,88;147407125,2;31709897,29;1343895,87;50436904,21;29009419,53;13307501,73;139677369;122260719,8;125950510,6;59900411,31;2992601,71;175317669,7;18198286,47;13332616,71;992764,75;18246295,61;217123873,6;17855425,85;686069,55;2446381,77;79895;1390245,64;-;43288338,17;6808871,41;9096225,38;267322297,1;2204535;540334985,6;2660122027
.. Paraíba;1885514,24;593091,86;5063124,33;45981,52;12308802,76;22053703,47;1405331,54;44706,77;1826486,7;893876,16;5561258,67;10430286,24;369269,65;24498853,68;46428149,1;591118447,3;36312699,36;22492740,65;4068228,03;49,6;5552261,36;1475996,55;175373598,8;30466590,86;1505786,76;38256221,65;12872865,03;5156958,57;89927929,8;103929878,8;95779219,76;52634464,69;5683402,69;176598549,4;20652600,92;18795471,39;1723140,12;14600351,74;159301718,3;19603185,08;420354,74;135227,73;44160;1995099,13;408240;16275879,2;1053672,28;6863343,31;174024992,5;5406965;591000317;2614919045
.. Pernambuco;8224538,59;1000215,67;13624015,1;117090,47;43109357,12;105728984,3;23639759,55;4354331,19;11171298,47;15861882,32;29944228,2;19779588,96;941546,6;79469703,27;53510969,67;1542323440;149780753,3;180181851,4;11599043,81;1305,96;24011258,31;16985357,57;482343670,4;146153175,2;3144796,05;127738543,9;46560173;43530610,36;393155865,2;378625851,7;306940384,2;181266669,6;12928623,49;392451377,3;58951369,74;150732604,4;5456168,59;69949122,13;432827504,3;48351777,4;6387565,46;4500351,92;491910;16720509,39;2901016,5;383062617,6;34565022,26;60054265,92;561743830,8;5948912,5;1888345167;8581189976
.. Alagoas;862273,83;125178,82;5590998,45;9601,53;5569160,12;12951337,98;1199523,75;791599,14;1184659,2;90793,67;2425974,7;7052140,32;201471,5;21761340,55;79281316,62;520720702,6;34324299,07;21121898,07;2167210,12;97,96;7997950,64;600952,16;171631865,6;19579402,96;1112327,37;24176756,05;17385278,17;26241268,17;88610633,96;96202993,3;77198828,09;55396333,84;2395963,55;167623983,2;10026025,49;9836073,01;1450036,84;24686783,44;64384695,76;17655247,33;332825,43;76966,96;34295;698521,57;-;6129244,3;1257105,89;7448325,63;183477432,7;2317530;433018178,2;2236415403
.. Sergipe;255743,64;28219,06;6345767,44;386,43;4824616,39;5596823,06;393851,05;631,98;663427,06;1283430,96;4507646,88;3970166,64;320837,5;15862216,83;7101984,67;180817294,5;5733069,93;19807856,24;1595775,9;7,44;2996055,83;909711,97;136565738,8;3908701,63;939676,78;14037826,03;5896396,08;11541522,53;56806946,36;64527128,08;55488988,54;40967535,74;1851874,92;64837455,89;5219831,87;5698970,68;945500,11;5085783,83;18860484,97;6791873,68;25718,51;262450,5;143750;798308,09;-;782434,76;152246,95;4036975,53;83604623,06;1388095;361670654,7;1215853015
.. Bahia;24099476,5;1695982,67;25134135,27;20007,35;33529251,83;76576088,44;12470842,22;1552512,89;6570049,54;6210444,69;17686663,23;27161242,44;1039737,5;117084195,7;187196643,5;2274558674;82114391,77;127160466,6;11402544,96;266,31;35985623,12;24561444,16;722032874,1;65183178,99;3344038,97;97356921;59526318,65;129955964,9;332510700,2;532925316,2;351432920,8;318238848,1;16313509,75;472080302;66870845;70345607,07;3882248,2;72618138,43;699062340,2;56693827,93;2223829,45;1263479,82;416615;7022310,93;-;105061188;7211261,56;21681565,81;633288738,4;9749380;1839438616;9791541571
Região Sudeste;60902413,08;21158297,04;260183250,4;641280,6;404031067,4;1255778901;186530945,8;47811927,83;107118997,1;92790706,57;312780856;260873146,6;6178477,55;1048401364;824237683,7;13909958930;841022915,5;1065701766;128954380,8;82368,14;202659133,3;717166009,7;3005482052;654290684,6;39813482,16;1051853109;523862505,6;660009215,8;3914749345;3104623322;2957228930;1373129275;110557675,8;2472539829;442893853,7;279629707,9;38927709,56;364777485,3;2772316042;350904090,8;27402097,48;52050778,48;5695225;175733555,6;3751996,7;2843070397;275558358,2;482671607;7144780304;103701328,3;18571614922;75558583704
.. Minas Gerais;20604906,21;4538733,25;81878875,3;110129,01;96052314,01;280561225,7;37194011,35;9530789,2;25509336,23;26931525,34;112962030;71177477,28;1487978,85;196430482,7;241879641;3461857181;283048213,9;287944571,7;33992014,49;9129,52;61880016,32;208979920,9;781925539,7;176045330,8;10048349,01;306695098,4;125783462,4;132851626,2;1032477480;842234885,7;894934215;369467301;25183865,31;694785457,2;133059684,2;75177790,32;11354609,53;115225799,9;841175181,9;92373298,14;10811962,6;11174482,27;836725;32605378,01;109600,4;456663830,3;52013578,16;115242870,1;1952988461;34705662,5;5546225508;20418737537
