Unidade da Federação;0201 Coleta de material;0209 Diagnóstico por endoscopia;0211 Métodos diagnósticos em especialidades;0301 Consultas / Atendimentos / Acompanhamentos;0303 Tratamentos clínicos (outras especialidades);0304 Tratamento em oncologia;0305 Tratamento em nefrologia;0308 Tratamento de lesões, envenenamentos e outros, decorrentes de causas externas;0310 Parto e nascimento;0401 Pequenas cirurgias e cirurgias de pele, tecido subcutâneo e mucosa;0402 Cirurgia de glândulas endócrinas;0403 Cirurgia do sistema nervoso central e periférico;0404 Cirurgia das vias aéreas superiores, da face, da cabeça e do pescoço;0405 Cirurgia do aparelho da visão;0406 Cirurgia do aparelho circulatório;0407 Cirurgia do aparelho digestivo, orgãos anexos e parede abdominal;0408 Cirurgia do sistema osteomuscular;0409 Cirurgia do aparelho geniturinário;0410 Cirurgia de mama;0411 Cirurgia obstétrica;0412 Cirurgia torácica;0413 Cirurgia reparadora;0414 Bucomaxilofacial;0415 Outras cirurgias;0416 Cirurgia em oncologia;0501 Coleta e exames para fins de doação de orgãos, tecidos e células e de transplante;0503 Ações relacionadas à doação de orgãos e tecidos para transplante;0504 Processamento de tecidos para transplante;0505 Transplante de orgãos, tecidos e células;0506 Acompanhamento e intercorrências no pré e póstransplante
Rio Grande do Norte;21259,78;200504,2;;3217996,85;71431594,45;7790608,57;2648475,45;2627084,75;9364108,09;1014527,35;96284,58;6668061,45;4663074,15;2100102,87;29641354,64;9666898,88;8247141,17;4176091,78;221867,18;19306262,36;2614574,14;1808457,96;20783,64;59846103,16;12892644,54;132906,69;158372,6;;5065842,45;1009760,42
Paraíba;102995,03;53611,41;20764;269323,69;86447568,5;5958511,84;3382231,24;1285060,49;12281964,27;501550,13;141890,55;2237835,66;2453925,17;654477,17;24429165,58;10706614,06;11216277,81;4394876,98;395793,6;19482210,82;2328353,77;1488997,52;30860,45;29440537,73;9011413,58;;196998,22;;3109487,38;211694,9
Pernambuco;305674,94;237758,26;93714,3;1448134,7;277259160,2;23706881,64;16088667,79;7622169,01;35779869,34;1742940,03;280933,27;13603638,07;8505656,09;4173501,92;62539471,29;27417388,71;30770096,47;12434102,3;910023,66;39584874,65;7273851,39;10144568,45;255074,71;157860243;21534988,39;232416,75;2675193,61;368262,4;47454373,19;7433005,85
Alagoas;23770,79;97982,01;11973,35;128446,87;76453559,76;6074410,83;4026712,29;1683242,18;12524801,22;1216931,47;89867,83;2331681,73;2198164,14;2436146,28;20700605,52;9276614,71;11225704,21;5041647,6;299064,94;16353456,07;1557255,77;726384,74;115625,41;25649474,76;3834837,84;;143205,82;;410717,06;154404,06
Sergipe;10552,79;2373,99;;169077,2;45594336,88;1397573,62;2677535,17;660820,02;9932938,56;216787,25;137293,28;3899445,09;1752850,89;931315,81;15042348,8;6956541,87;7817779,03;2471291,14;135125,81;7679605,44;775374,53;519593,72;60019,28;5634346,73;2774252,66;;236055;;;2429,07
Bahia;236907,58;177716,43;18718,89;1527915,46;301359033,1;16952127,97;19068290,04;7671107,44;49487421,76;3622176,98;495851,11;16341988,86;10829045,89;14728707,42;63996518,59;52325536,72;47615991,01;26817039,81;1040821,34;44106682,7;7754184,71;5208008,91;119159,75;138592461,3;31478141;4982,65;1623143,19;;14886409,39;1589303,45
Minas Gerais;968802,51;2597638,63;230040,1;4183580,32;702116613,3;46777688,67;36825959;14009503,96;57384436,4;3918570,39;1212500,59;33239520,72;21195577,52;12525167,58;225326076,6;85584565,36;116555712,4;33023432,23;2281258,94;72823337,72;19099685,77;7004587,23;925134,49;240056028,8;67730847,91;703985,05;5012635,26;8718,4;64979032,36;10856472,33
Espírito Santo;113770,02;81529,84;80240;820919,95;93625670,29;10311928,76;5241349,67;2355365,75;10376017,64;872260,08;66077,04;7887258,3;3683046,42;2661834,45;48370074,05;18830673,32;23193395,33;4731294,75;242931,43;15312713,73;3653939,11;1520534,01;66079,52;39845042,71;15322058,07;;512774,8;;9076176,71;1092667,24
Rio de Janeiro;366537,19;314932,46;131247,65;2854959,62;351957861,2;18771052,39;28241544,07;8840329,96;46057333,94;2058443,79;734285,97;19952905,98;10769368,2;13742769,18;98281384,26;44875430,05;64476910,19;20824852,79;1784343,49;47054167,05;8166758,47;4646523,08;495894,43;106925695,2;32736198,78;187113,07;3172013,27;113532;35183330,48;3158985,57
São Paulo;2145072,4;948494,35;2008655,28;12985454,83;1234880722;76441966,55;57496037,78;25737312,36;115479770,5;12718856,09;2309373,22;81431998,7;51502847,52;47923543,75;398192932;183429421,5;200142835,8;68306517,29;5845449,03;140405774,2;38835348,5;15746681,2;1036127,92;407637392,1;125216060,4;1802091,45;15404342,49;96119,2;207460797,8;34069043,62
Paraná;617784,32;6335067,36;2343375,65;4623180,63;454889113,4;32176839,29;18442846,13;9521299,42;30600150,75;2693094,33;463873,33;27346168,63;24731028,48;11134429,54;240133923,5;105964551,6;87389458,59;18664563,63;833126,01;41005797,64;25429987,77;8369032,46;379834,06;199022296,9;55235498,85;317185,19;7461730,14;761402,4;67814606,69;8783144,16
Santa Catarina;415439,59;1621877,72;60350;2100318,03;211339139,9;21677411,04;9246197,03;5373280,44;23037974,6;1289744,84;244096,34;11750195,13;7789208,02;3748297,12;101194246,8;37297246,84;40605176,02;13065265,65;784498,88;27513038,35;14354664,17;2101964,36;216095,8;158186788,3;24415401,74;;4590482,05;;32018572,57;3206405,75
Rio Grande do Sul;485657,04;1365559,13;606858,52;1338089,31;381944937;32007202,78;14034238,35;8756087,21;26034623,98;2344102,15;437843,67;22864963,79;17806806,76;12205268,37;184689437,1;55633518,74;64588572,02;16400774,53;1343898,71;37612816,57;13895152,87;3361991,23;806628,8;125553839,1;44780923,4;104510,24;4030513,3;28972;46285558,07;10268882,46
Mato Grosso do Sul;49012,01;146327,6;;553796,65;74657335,88;3970753,2;3599784,01;1712269,58;8010402,34;501642,67;85167,26;4919294,23;941267,56;3241501,1;23431578,33;12151155,19;11523727,35;4119280,14;247070,77;12583234,26;3232839,52;978079,06;67621,1;41383605,65;4212190,87;;773261,7;134982,4;1161850,73;173890,98
Mato Grosso;54707,76;;;864156,23;78840708,97;2705703,99;3966510,95;2689680,97;11170499,72;490072,21;118697,43;2581599,02;2782856,46;201331,66;15492012,24;11932838,41;13391343,86;3747304,42;142708,02;14836121,23;2144822,13;743791,99;111226,89;15761823,79;4853938,76;;20643,93;;;
Goiás;47464,26;150484,47;364386,56;918534,81;150506652,6;4300288,97;6547620,79;5366367,6;12523950,49;658882,79;116638,89;6647888,19;5675834,53;7185215,01;61502810,43;24861354,79;38618473,28;8722664,21;676376,7;19621243,9;4660487,75;5858930,58;106556,33;50168922,27;14819333,43;10013,26;372372,83;;6820975,84;551931,92
Distrito Federal;349919,6;40667,01;;1421294,75;86914026,74;5846021,12;4814869,94;4092887,9;14052144,53;506221,57;75185,77;6699744,61;1794357,74;2834230,69;21789582,97;10413201,33;16081492,17;3818444,7;548506,83;13732314,9;3392516,4;505727,12;40650,35;17338457,87;7083176,33;10294,7;947777,22;;13034485,51;1688679,97
