Unidade da Federação;0201 Coleta de material;0209 Diagnóstico por endoscopia;0211 Métodos diagnósticos em especialidades;0301 Consultas / Atendimentos / Acompanhamentos;0303 Tratamentos clínicos (outras especialidades);0304 Tratamento em oncologia;0305 Tratamento em nefrologia;0308 Tratamento de lesões, envenenamentos e outros, decorrentes de causas externas;0310 Parto e nascimento;0401 Pequenas cirurgias e cirurgias de pele, tecido subcutâneo e mucosa;0402 Cirurgia de glândulas endócrinas;0403 Cirurgia do sistema nervoso central e periférico;0404 Cirurgia das vias aéreas superiores, da face, da cabeça e do pescoço;0405 Cirurgia do aparelho da visão;0406 Cirurgia do aparelho circulatório;0407 Cirurgia do aparelho digestivo, orgãos anexos e parede abdominal;0408 Cirurgia do sistema osteomuscular;0409 Cirurgia do aparelho geniturinário;0410 Cirurgia de mama;0411 Cirurgia obstétrica;0412 Cirurgia torácica;0413 Cirurgia reparadora;0414 Bucomaxilofacial;0415 Outras cirurgias;0416 Cirurgia em oncologia;0501 Coleta e exames para fins de doação de orgãos, tecidos e células e de transplante;0503 Ações relacionadas à doação de orgãos e tecidos para transplante;0504 Processamento de tecidos para transplante;0505 Transplante de orgãos, tecidos e células;0506 Acompanhamento e intercorrências no pré e póstransplante
Rondônia;24907,77;3516,97;;446993,37;52711899,53;1763908,35;2587558,88;2350887,96;4977848,02;305567,61;113908,24;3018101,26;1187422,24;956495,05;2785645,56;5617537,65;5524575,93;2380816,11;113094,24;9164637,69;802085,26;217377,64;29748,22;8818174,15;2388683,42;;161935,91;;632546,49;27227,97
Acre;19949,95;;;187027,52;12101922,18;407612,61;555118,23;728417,07;3775691,88;41147,39;22276,14;1103683,24;613517,47;54094,17;2324893,61;2422481,82;2191803,13;469877,89;26468,52;4689889,26;262713,99;47448,22;5811;866226,7;771111,49;;9282,46;;887605,31;123527,71
Amazonas;24687,19;2240,71;;390249,96;70597945,06;1932551,95;2213141,59;1922024,18;22388630,78;380796,73;131911,15;3141500,81;2573432,05;1534778,39;10903519,04;11523817,06;9467571,62;4096397,94;240859,51;20213145,08;1979826,08;1922704,22;16711,19;15060673,83;6322429,48;;274653,29;;;
Roraima;10055,42;519,21;;216028,46;15766907,9;323730,78;617580,29;1163112,65;4903949,29;28378,02;6526,28;412831,46;682313,7;33026,06;41428,34;1193945,97;1030038,77;416370,62;35189,52;4937325,14;425484,49;11373,67;38374,37;1639579,67;386071,78;;;;;
Pará;43233,58;63341,45;4930;630593,33;149644434,8;7679493,56;8414814,16;4290615,94;31919628,09;1144433,15;176323,92;6342481,01;4938328,48;3501304,06;17750852,57;22558063,69;16531299,91;10473179,5;391028,86;39319538,97;4367225,1;4591179,01;1016951,99;65593804,4;6638936,21;;333929,27;97356;1726527,32;621712,5
Amapá;2253,75;;;34059,91;9980419,88;246076,67;303728,52;257874,76;5123356,3;27767,46;24540,09;130103,43;101999,99;3177,6;3863923,91;2223811,66;1125773,71;833957,35;29707,62;3803878,21;222087,8;97039,32;;478107,25;456761,79;;;;;
Tocantins;9200,29;11207,91;;50166,29;29678421,54;1449213,08;1937081,77;1748988,91;5414966,96;216784,09;57704,89;1807078,24;980925,54;29034,26;7182261,17;4709675,2;4563393,84;1797391,43;108425,94;8455870,56;610887,39;558886,11;133133,53;8343328,95;2314040,84;;49721,98;42613,6;53728,8;
Maranhão;64975,64;2364,38;;211983,89;153022539,1;6811588,98;5431820,3;3682462,59;28559153,94;1955963,41;204511,89;6230669,28;3939337,17;3263354,19;11815259,81;23248204,17;20227409,19;12971678,16;302521,85;30882837,52;3021732,49;1193763,59;54481,76;32980155,07;14943661,12;;141969,75;;770024,4;473387,44
Piauí;73670,8;40624,45;;394246,77;76369709,42;5797130,69;2513366,97;1251120,39;10662251,67;387235,43;81430,6;6631818,13;3202913,96;564809,25;13231375,52;12619969,16;13027407,62;5701757,05;171063,52;17644124,3;2725669,23;1921884,41;18137,71;26587026,07;4225894,15;;240845,56;85523,2;301794,19;347314,31
Ceará;121045,85;6110,09;67861,36;2404763,63;203200553,9;7196937,56;8813134,29;6288238,95;26311141,95;1505136,33;429617,5;8745131,35;9099048,88;1776511,56;64105692,53;28956401,57;24295081;11197090,09;861736,63;44200796,15;6927726,98;4028220,58;43269,47;84246904,06;19650501,97;273637,36;2651817,56;;36758161,61;3775024,56
