"Ano/mês";" Idade ignorada";"Ate 30 dias";"30 dias a 1 ano";"2 meses";"3 meses";"4 meses";"5 meses";"6 meses";"7 meses";"Menor de 1 ano";"1 ano";"2 anos";"3 anos";"4 anos";"5 anos";"6 anos";"9 anos";"10 anos";"11 anos";"12 anos";"13 anos";"14 anos";"15 anos";"16 anos";"17 anos";"18 anos";"19 anos";"1 a 2 anos";"1 a 4 anos";"1 a 11 anos";"2 a 4 anos";"3 a 8 anos";"5 a 6 anos";"5 a 8 anos";"5 a 9 anos";"5 a 10 anos";"5 a 12 anos";"5 anos e mais";"7 a 9 anos";"7 a 11 anos";"7 a 14 anos";"7 a 17 anos";"7 anos e mais";"9 a 12 anos";"10 a 11 anos";"10 a 14 anos";"11 a 14 anos";"7 a 8 anos";"12 a 14 anos";"13 a 14 anos";"13 a 19 anos";"15 a 16 anos";"15 a 19 anos";"15 a 49 anos";"15 a 59 anos";"17 a 19 anos";"18 a 19 anos";"20 a 24 anos";"20 a 29 anos";"20 a 59 anos";"20 a 25 anos";"20 a 26 anos";"26 a 27 anos";"27 e mais";"25 a 29 anos";"30 a 34 anos";"30 a 39 anos";"35 a 39 anos";"40 a 44 anos";"40 a 49 anos";"45 a 49 anos";"50 a 59 anos";"60 a 64 anos";"60 anos e mais";"65 a 69 anos";"65 anos e mais";"70 a 74 anos";"75 a 79 anos";"80 a 84 anos";"85 a 89 anos";"90 anos e mais";"Gestantes 10 a 11 anos";"Gestantes 12 a 14 anos";"Gestantes 15 a 49 anos";"Não gestantes 12 a 14 anos";"Não gestantes 12 a 49 anos";"Não gestantes 15 a 49 anos";"Homens 12 a 14 anos";"Homens 12 a 49 anos";"Homens 15 a 49 anos";"Sem discriminação de idade";"Ignorado";" Total"
"2006/Nov";"142";"0";"0";"199231";"19938";"153712";"17726";"0";"0";"2692793";"714081";"37937";"20056";"97061";"0";"0";"0";"0";"0";"12721";"0";"0";"0";"0";"0";"0";"0";"2374";"22566";"0";"6755";"3309";"180573";"14253";"5491";"37250";"0";"0";"0";"93802";"2334";"150";"863";"16036";"0";"27963";"96823";"0";"0";"16556";"20805";"20565";"144133";"0";"153327";"29378";"69";"44155";"0";"303238";"0";"0";"0";"0";"46277";"38762";"0";"36126";"26495";"0";"18638";"89695";"0";"89515";"0";"0";"0";"0";"0";"0";"0";"0";"13781";"251729";"57530";"0";"320832";"36479";"206576";"366356";"0";"0";"6806957"
"2006/Dez";"191";"0";"0";"180298";"18694";"144883";"17325";"0";"0";"2476786";"667442";"38593";"19517";"93695";"0";"0";"0";"0";"0";"12485";"0";"0";"0";"0";"0";"0";"0";"2339";"21805";"0";"7294";"3014";"177178";"14534";"6769";"28043";"0";"0";"0";"95449";"2132";"97";"913";"16245";"0";"30342";"76168";"0";"0";"13076";"19423";"15338";"121644";"0";"160443";"20796";"46";"31412";"0";"269325";"0";"0";"0";"0";"33818";"24851";"0";"23230";"14543";"0";"12111";"82539";"0";"84104";"0";"0";"0";"0";"0";"0";"0";"0";"12918";"231246";"48074";"0";"285126";"35012";"152920";"343012";"0";"0";"6187238"
"2007/Jan";"0";"0";"0";"210597";"19997";"178581";"19570";"0";"0";"2831779";"799049";"40580";"56564";"117539";"0";"0";"0";"0";"0";"26827";"0";"0";"0";"0";"0";"0";"0";"1573";"23269";"0";"6552";"2171";"229786";"15921";"8104";"28958";"0";"0";"0";"127600";"2199";"114";"1003";"17249";"0";"37047";"78307";"0";"0";"30558";"20994";"39809";"130184";"0";"209315";"55586";"47";"82029";"0";"293502";"0";"0";"0";"0";"81263";"62507";"0";"56631";"34820";"0";"27243";"103916";"0";"108437";"0";"0";"0";"0";"0";"0";"0";"0";"13634";"267389";"43879";"0";"289921";"37631";"653896";"384868";"0";"0";"7908995"
"2007/Fev";"0";"0";"0";"182603";"16998";"152266";"16407";"0";"0";"2490610";"704628";"37910";"18199";"112604";"0";"0";"0";"0";"0";"20540";"0";"0";"0";"0";"0";"0";"0";"1733";"22713";"0";"6378";"3285";"206702";"14338";"6066";"26074";"0";"0";"0";"112656";"2310";"75";"944";"16177";"0";"34088";"74990";"0";"0";"23580";"19967";"27038";"133173";"0";"224360";"40574";"63";"63844";"0";"296502";"0";"0";"0";"0";"65013";"50333";"0";"42022";"26468";"0";"20979";"99557";"0";"90609";"0";"0";"0";"0";"0";"0";"0";"0";"13386";"248801";"45927";"0";"298906";"39407";"573526";"401525";"0";"0";"7126854"
"2007/Mar";"0";"0";"0";"213324";"18275";"172595";"18211";"0";"0";"2800196";"781246";"41136";"19545";"116304";"0";"0";"0";"0";"0";"10150";"0";"0";"0";"0";"0";"0";"0";"1744";"23486";"0";"7359";"3444";"220707";"14678";"5137";"25171";"0";"0";"0";"89853";"2405";"122";"1722";"15722";"0";"31138";"67204";"0";"0";"11201";"19326";"14171";"134888";"0";"188495";"20780";"46";"33121";"0";"309727";"0";"0";"0";"0";"34050";"24963";"0";"20809";"12643";"0";"8300";"88572";"0";"88188";"0";"0";"0";"0";"0";"0";"0";"0";"12823";"272130";"42805";"0";"300903";"34906";"172246";"415883";"0";"0";"6961850"
"2007/Abr";"0";"0";"0";"208630";"16622";"156779";"15024";"0";"0";"2633597";"752842";"45635";"24070";"128334";"0";"0";"0";"0";"0";"12865";"0";"0";"0";"0";"0";"0";"0";"8634";"21084";"0";"19864";"18122";"255870";"14701";"6519";"25187";"0";"0";"0";"99187";"2629";"101";"1241";"22923";"0";"36055";"65160";"0";"0";"16529";"29662";"17977";"128731";"0";"196972";"24524";"33";"37133";"0";"396909";"0";"0";"0";"0";"39278";"29673";"0";"26144";"19304";"0";"14551";"107154";"4529651";"565455";"9304765";"0";"0";"0";"0";"0";"0";"0";"13008";"250750";"43399";"0";"303273";"35288";"174973";"416325";"0";"0";"21313136"
"2007/Mai";"0";"0";"0";"212204";"17036";"172575";"16276";"0";"0";"2692453";"746657";"45031";"23413";"127632";"0";"0";"0";"0";"0";"14545";"0";"0";"0";"0";"0";"0";"0";"39231";"25774";"0";"12073";"84982";"215362";"19093";"6497";"26097";"0";"0";"0";"99723";"2552";"141";"879";"59967";"0";"43700";"75900";"0";"0";"18068";"84476";"20886";"138891";"0";"243507";"28399";"52";"376303";"0";"1009764";"0";"0";"0";"0";"348299";"275599";"0";"30072";"21114";"0";"18558";"145166";"0";"1034730";"0";"0";"0";"0";"0";"0";"0";"0";"13222";"252775";"52534";"0";"350980";"38368";"972771";"443045";"0";"0";"10697372"
"2007/Jun";"0";"0";"0";"223574";"17821";"178347";"16976";"0";"0";"6144223";"1049846";"144969";"100976";"485326";"0";"0";"0";"0";"0";"14047";"0";"0";"0";"0";"0";"0";"0";"35457";"12870546";"0";"9459";"61844";"618914";"16370";"11560";"32173";"0";"440633";"0";"134155";"2821";"110";"925";"34823";"0";"55152";"84858";"0";"0";"17603";"45811";"19617";"140701";"0";"235886";"29040";"21";"92893";"0";"618679";"0";"0";"0";"0";"87535";"68866";"0";"26563";"16762";"0";"11585";"108153";"0";"239844";"0";"0";"0";"0";"0";"0";"0";"0";"15301";"246571";"65380";"0";"353319";"43649";"317882";"422218";"0";"0";"26009784"
"2007/Jul";"0";"0";"0";"217456";"16671";"178423";"16022";"0";"0";"2572163";"714919";"64573";"39199";"188060";"0";"0";"0";"0";"0";"10004";"0";"0";"0";"0";"0";"0";"0";"20823";"28772";"0";"8502";"29013";"231927";"17480";"6468";"22360";"0";"0";"0";"104101";"2262";"138";"1398";"23511";"0";"42084";"65199";"0";"0";"10995";"29378";"15815";"125944";"0";"218701";"21422";"22";"36430";"0";"428885";"0";"0";"0";"0";"36059";"26803";"0";"20446";"12997";"0";"9394";"114709";"0";"207198";"0";"0";"0";"0";"0";"0";"0";"0";"12425";"239419";"43701";"0";"304075";"36342";"169466";"415133";"0";"0";"7157287"
"2007/Ago";"0";"0";"0";"240188";"18780";"208220";"18552";"0";"0";"6201465";"956624";"102868";"76016";"358374";"0";"0";"0";"0";"0";"20738";"0";"0";"0";"0";"0";"0";"0";"14293";"12775016";"0";"8469";"20295";"364994";"18776";"7442";"31847";"0";"353526";"0";"121027";"2667";"133";"1104";"22395";"0";"42756";"84275";"0";"0";"25698";"27741";"31585";"159095";"0";"204313";"40692";"53";"71186";"0";"423542";"0";"0";"0";"0";"70388";"55219";"0";"47114";"28410";"0";"24882";"107097";"0";"135243";"0";"0";"0";"0";"0";"0";"0";"0";"14753";"256980";"54751";"0";"344124";"40983";"311857";"437909";"0";"0";"24984455"
